fld_num,fld_names,lift,precision,recall,tot_lift,tot_recall,tot_prec
31,q_rh_high_20M^q_sma_close_7M_pdif^q_rl_low_30M^prpsh_high_120M^q_rh_low_5M^prpsh_high_180M^q_rh_close_20M,0.80721,0.83491,0.02731,0.70435,0.00481,0.86792
24,prpsl_low_360M^q_rh_close_5M^q_rh_low_30M^q_sma_low_7M_pdif^q_rh_close_10M^q_rh_low_10M^q_rl_high_20M,0.80725,0.83495,0.02654,0.7005,0.00465,0.86408
38,q_rl_close_10M^prpsh_high_180M^q_rh_high_10M^prpsh_high_360M^q_sma_low_15M_pdif^q_rl_high_20M^q_rl_low_30M,0.80634,0.83404,0.03025,0.71302,0.00538,0.8766
12,prpsh_high_360M^q_rh_close_20M^q_sma_low_15M_pdif^prpsl_low_300M^q_sma_close_7M_pdif^q_rl_close_20M^prpsh_high_360M,0.80064,0.82834,0.06404,0.70668,0.01139,0.87026
46,q_rl_low_30M^q_rh_close_30M^prpsh_high_120M^q_rh_low_20M^q_sma_close_15M_pdif^q_sma_close_30M_pdif^q_rh_close_10M,0.80505,0.83275,0.03688,0.71796,0.00661,0.88153
40,q_rl_close_30M^q_rl_close_10M^q_rl_high_20M^q_sma_close_20M_pdif^q_sma_low_10M_pdif^prpsh_high_360M^q_rh_close_20M,0.80456,0.83226,0.03981,0.7203,0.00716,0.88387
17,prpsl_low_30M^q_sma_high_10M_pdif^q_rl_low_20M^q_sma_low_7M_pdif^q_rl_high_20M^q_rh_low_30M^q_rh_high_20M,0.80408,0.83178,0.0412,0.71804,0.0074,0.88162
43,q_rl_high_30M^q_rh_high_30M^q_sma_low_15M_pdif^q_rl_low_10M^q_sma_high_15M_pdif^prpsl_low_300M^q_rh_close_20M,0.80052,0.82822,0.0625,0.70759,0.01113,0.87117
11,prpsh_high_300M^q_rl_high_30M^q_sma_close_30M_pdif^q_rl_close_30M^q_rl_low_10M^q_rh_low_10M^q_sma_close_10M_pdif,0.80286,0.83056,0.04614,0.70865,0.00821,0.87222
46,q_rl_low_30M^q_rh_low_30M^q_sma_high_10M_pdif^prpsl_low_360M^q_rh_low_10M^q_sma_close_10M_pdif^q_rl_high_20M,0.80033,0.82803,0.06019,0.71541,0.01082,0.87898
21,prpsl_low_180M^q_sma_volume_7M_pdif^q_slope_close_15M^q_sma_close_10M_pdif^q_rl_high_20M^q_rh_close_20M^q_sma_high_10M_pdif,0.80563,0.83333,0.02778,0.69291,0.00483,0.85648
63,q_slope_close_7M^q_rh_low_10M^q_sma_close_7M_pdif^q_rl_close_30M^q_rl_low_30M^q_sma_close_10M_pdif^q_slope_close_10M,0.80495,0.83265,0.03148,0.70989,0.00559,0.87347
45,q_rl_low_20M^q_rh_close_30M^q_sma_close_10M_pdif^q_rh_high_20M^prpsl_low_240M^q_sma_close_30M_pdif^q_rl_close_20M,0.80276,0.83046,0.0446,0.71286,0.00797,0.87644
